iter	Passed	Remaining
153	3143	17268
154	3164	17252
155	3172	17163
156	3193	17147
157	3215	17134
158	3234	17108
159	3260	17118
160	3278	17083
161	3297	17058
162	3317	17035
163	3338	17019
164	3346	16935
165	3366	16912
166	3387	16896
167	3408	16880
168	3429	16862
169	3449	16841
170	3469	16818
171	3489	16799
172	3511	16788
173	3533	16772
174	3552	16745
175	3572	16726
176	3592	16705
177	3614	16691
178	3634	16668
179	3654	16650
180	3675	16630
181	3686	16567
182	3706	16548
183	3725	16523
184	3747	16508
185	3766	16485
186	3788	16470
187	3817	16486
188	3837	16466
189	3856	16442
190	3878	16429
191	3899	16409
192	3920	16391
193	3934	16345
194	3955	16327
195	3978	16319
196	4001	16312
197	4025	16305
198	4030	16223
199	4054	16216
200	4081	16222
201	4105	16218
202	4126	16200
203	4148	16187
204	4172	16182
205	4200	16188
206	4225	16186
207	4247	16173
208	4269	16157
209	4290	16140
210	4313	16129
211	4333	16106
212	4352	16083
213	4374	16068
214	4379	15990
215	4400	15972
216	4421	15955
217	4441	15933
218	4462	15915
219	4487	15911
220	4513	15908
221	4536	15899
222	4559	15887
223	4583	15879
224	4607	15869
225	4629	15853
226	4650	15835
227	4670	15815
228	4690	15793
229	4710	15768
230	4729	15745
231	4748	15719
232	4769	15700
233	4790	15681
234	4811	15662
235	4832	15644
236	4853	15624
237	4872	15598
238	4892	15578
239	4912	15557
240	4933	15537
241	4952	15512
242	4974	15497
243	4995	15477
244	5016	15458
245	5039	15446
246	5058	15421
247	5079	15400
248	5099	15380
249	5119	15359
250	5141	15341
251	5160	15317
252	5181	15297
253	5201	15275
254	5222	15257
255	5242	15234
256	5262	15213
257	5281	15189
258	5302	15171
259	5323	15151
260	5344	15131
261	5364	15110
262	5384	15088
263	5403	15064
264	5423	15042
265	5443	15020
266	5463	14998
267	5483	14977
268	5504	14958
269	5525	14938
270	5545	14916
271	5565	14894
272	5576	14850
273	5610	14866
274	5634	14855
275	5654	14832
276	5675	14812
277	5694	14788
278	5715	14769
279	5736	14749
280	5755	14725
281	5775	14704
282	5797	14689
283	5817	14666
284	5837	14644
285	5857	14622
286	5876	14600
287	5896	14578
288	5917	14558
289	5937	14537
290	5958	14517
291	5979	14497
292	6000	14479
293	6022	14463
294	6043	14442
295	6063	14422
296	6083	14400
297	6104	14380
298	6125	14360
299	6145	14339
300	6166	14319
301	6186	14298
302	6207	14279
303	6231	14267
304	6253	14249
305	6275	14231
306	6296	14213
307	6316	14190
308	6335	14168
309	6354	14144
310	6375	14125
311	6398	14109
312	6421	14093
313	6441	14072
314	6461	14050
315	6481	14029
316	6505	14017
317	6525	13995
318	6559	14002
319	6580	13983
320	6605	13971
321	6626	13952
322	6646	13930
323	6665	13907
324	6685	13885
325	6704	13862
326	6725	13841
327	6744	13817
328	6764	13796
329	6785	13777
330	6806	13757
331	6828	13738
332	6848	13717
333	6869	13697
334	6889	13676
335	6909	13655
336	6929	13632
337	6951	13615
338	6971	13594
339	6992	13574
340	7013	13554
341	7033	13532
342	7053	13510
343	7073	13488
344	7093	13467
345	7113	13446
346	7133	13424
347	7154	13404
348	7175	13384
349	7197	13366
350	7218	13346
351	7238	13326
352	7259	13304
353	7279	13284
354	7299	13262
355	7319	13240
356	7340	13220
357	7360	13199
358	7380	13178
359	7405	13164
360	7426	13145
361	7448	13126
362	7468	13105
363	7492	13092
364	7513	13071
365	7534	13051
366	7556	13033
367	7576	13011
368	7596	12990
369	7617	12970
370	7640	12954
371	7660	12931
372	7680	12910
373	7701	12890
374	7723	12872
375	7743	12850
376	7763	12829
377	7783	12807
378	7804	12788
379	7824	12766
380	7844	12744
381	7863	12721
382	7883	12699
383	7903	12678
384	7924	12657
385	7944	12637
386	7964	12615
387	7985	12595
388	8007	12576
389	8028	12556
390	8048	12535
391	8068	12514
392	8088	12492
393	8108	12470
394	8127	12449
395	8161	12448
396	8181	12427
397	8201	12405
398	8221	12383
399	8242	12363
400	8262	12342
401	8281	12319
402	8303	12300
403	8323	12278
404	8344	12258
405	8365	12239
406	8385	12217
407	8407	12198
408	8429	12180
409	8451	12161
410	8474	12144
411	8495	12124
412	8516	12104
413	8536	12082
414	8556	12061
415	8575	12039
416	8598	12021
417	8619	12000
418	8639	11979
419	8660	11959
420	8680	11937
421	8698	11914
422	8720	11895
423	8740	11873
424	8761	11854
425	8782	11834
426	8804	11815
427	8826	11796
428	8847	11775
429	8867	11755
430	8888	11734
431	8908	11713
432	8929	11692
433	8951	11674
434	8971	11652
435	8991	11630
436	9012	11611
437	9033	11591
438	9055	11571
439	9075	11551
440	9095	11529
441	9116	11508
442	9136	11487
443	9157	11467
444	9178	11447
445	9200	11428
446	9225	11412
447	9246	11393
448	9268	11373
449	9288	11353
450	9309	11332
451	9330	11312
452	9351	11291
453	9370	11269
454	9390	11248
455	9411	11227
456	9432	11207
457	9452	11186
458	9480	11173
459	9499	11151
460	9518	11129
461	9543	11113
462	9565	11093
463	9585	11073
464	9606	11052
465	9628	11033
466	9648	11012
467	9669	10991
468	9689	10970
469	9709	10949
470	9729	10927
471	9750	10907
472	9769	10884
473	9790	10864
474	9809	10841
475	9829	10820
476	9849	10799
477	9871	10779
478	9891	10758
479	9911	10737
480	9932	10717
481	9952	10695
482	9972	10674
483	9999	10660
484	10022	10642
485	10043	10621
486	10077	10615
487	10098	10595
488	10119	10574
489	10138	10552
490	10159	10532
491	10182	10513
492	10202	10492
493	10222	10471
494	10242	10449
495	10262	10428
496	10282	10406
497	10303	10386
498	10324	10365
499	10344	10344
500	10364	10323
501	10386	10303
502	10406	10282
503	10427	10261
504	10447	10240
505	10468	10219
506	10492	10202
507	10513	10182
508	10536	10163
509	10557	10143
510	10579	10124
511	10602	10105
512	10624	10086
513	10646	10066
514	10666	10045
515	10688	10025
516	10707	10003
517	10727	9981
518	10749	9962
519	10770	9941
520	10790	9920
521	10812	9900
522	10832	9879
523	10853	9859
524	10872	9837
525	10892	9815
526	10912	9794
527	10931	9772
528	10952	9751
529	10972	9730
530	10991	9708
531	11011	9686
532	11032	9665
533	11052	9644
534	11072	9623
535	11095	9604
536	11115	9583
537	11136	9563
538	11157	9542
539	11178	9522
540	11201	9503
541	11222	9483
542	11243	9463
543	11265	9442
544	11285	9421
545	11305	9400
546	11325	9379
547	11345	9358
548	11365	9337
549	11385	9315
550	11405	9293
551	11427	9274
552	11446	9252
553	11469	9233
554	11489	9212
555	11509	9190
556	11529	9169
557	11550	9149
558	11571	9128
559	11591	9107
560	11614	9088
561	11636	9069
562	11657	9048
563	11679	9028
564	11701	9009
565	11723	8989
566	11745	8969
567	11765	8948
568	11786	8928
569	11806	8906
570	11827	8886
571	11849	8866
572	11869	8844
573	11890	8824
574	11912	8804
575	11931	8782
576	11951	8761
577	11972	8741
578	11993	8720
579	12014	8700
580	12038	8682
581	12060	8662
582	12081	8641
583	12101	8620
584	12123	8600
585	12143	8579
586	12163	8558
587	12184	8537
588	12204	8515
589	12226	8496
590	12246	8475
591	12267	8454
592	12286	8432
593	12307	8412
594	12327	8391
595	12346	8369
596	12367	8348
597	12388	8328
598	12408	8307
599	12430	8287
600	12453	8268
601	12475	8247
602	12509	8235
603	12529	8214
604	12550	8194
605	12570	8172
606	12590	8151
607	12611	8130
608	12632	8110
609	12652	8089
610	12672	8068
611	12695	8048
612	12715	8027
613	12736	8007
614	12757	7986
615	12778	7965
616	12799	7945
617	12820	7924
618	12841	7903
619	12861	7882
620	12895	7869
621	12915	7849
622	12935	7827
623	12957	7807
624	12978	7787
625	12999	7766
626	13020	7745
627	13041	7724
628	13060	7703
629	13081	7682
630	13101	7661
631	13122	7641
632	13143	7620
633	13163	7599
634	13185	7579
635	13209	7559
636	13231	7539
637	13251	7519
638	13270	7497
639	13292	7477
640	13313	7456
641	13333	7434
642	13352	7413
643	13373	7392
644	13392	7371
645	13412	7349
646	13431	7328
647	13454	7308
648	13474	7287
649	13494	7266
650	13514	7245
651	13534	7223
652	13554	7202
653	13572	7180
654	13609	7168
655	13631	7148
656	13652	7127
657	13672	7106
658	13693	7085
659	13714	7064
660	13734	7044
661	13755	7023
662	13776	7002
663	13795	6980
664	13815	6959
665	13834	6938
666	13854	6916
667	13874	6895
668	13893	6874
669	13914	6853
670	13934	6832
671	13953	6810
672	13975	6790
673	13996	6769
674	14018	6749
675	14039	6729
676	14062	6709
677	14081	6687
678	14102	6666
679	14123	6646
680	14144	6625
681	14164	6604
682	14183	6583
683	14205	6562
684	14224	6541
685	14245	6520
686	14265	6499
687	14285	6478
688	14305	6457
689	14325	6436
690	14345	6414
691	14365	6393
692	14391	6375
693	14418	6357
694	14445	6339
695	14467	6319
696	14486	6297
697	14505	6276
698	14527	6255
699	14548	6234
700	14569	6214
701	14590	6193
702	14609	6172
703	14630	6151
704	14648	6129
705	14668	6108
706	14689	6087
707	14710	6066
708	14730	6045
709	14750	6025
710	14770	6003
711	14793	5983
712	14816	5964
713	14838	5943
714	14858	5922
715	14879	5901
716	14898	5880
717	14920	5860
718	14940	5839
719	14991	5829
720	15017	5811
721	15049	5794
722	15076	5776
723	15097	5755
724	15118	5734
725	15139	5713
726	15158	5692
727	15179	5671
728	15201	5651
729	15222	5630
730	15244	5609
731	15265	5589
732	15285	5567
733	15307	5547
734	15341	5531
735	15361	5510
736	15382	5489
737	15402	5467
738	15423	5447
739	15447	5427
740	15467	5406
741	15487	5385
742	15507	5363
743	15528	5343
744	15549	5322
745	15569	5301
746	15590	5280
747	15612	5259
748	15638	5240
749	15658	5219
750	15681	5199
751	15706	5179
752	15727	5159
753	15748	5138
754	15768	5116
755	15787	5095
756	15808	5074
757	15828	5053
758	15846	5031
759	15866	5010
760	15886	4989
761	15906	4968
762	15928	4947
763	15948	4926
764	15968	4905
765	15989	4884
766	16010	4863
767	16032	4843
768	16053	4822
769	16074	4801
770	16095	4780
771	16115	4759
772	16135	4738
773	16156	4717
774	16177	4696
775	16197	4675
776	16218	4654
777	16238	4633
778	16257	4612
779	16277	4591
780	16296	4569
781	16315	4548
782	16333	4526
783	16354	4505
784	16372	4484
785	16392	4463
786	16413	4442
787	16434	4421
788	16455	4400
789	16473	4379
790	16494	4358
791	16513	4336
792	16533	4315
793	16553	4294
794	16572	4273
795	16590	4251
796	16610	4230
797	16629	4209
798	16648	4188
799	16667	4166
800	16685	4145
801	16704	4124
802	16723	4102
803	16742	4081
804	16761	4060
805	16779	4038
806	16800	4017
807	16819	3996
808	16840	3975
809	16860	3954
810	16879	3933
811	16900	3912
812	16922	3892
813	16942	3871
814	16960	3849
815	16979	3828
816	16999	3807
817	17018	3786
818	17038	3765
819	17057	3744
820	17077	3723
821	17096	3702
822	17116	3681
823	17135	3659
824	17153	3638
825	17172	3617
826	17192	3596
827	17212	3575
828	17234	3555
829	17255	3534
830	17275	3513
831	17294	3492
832	17313	3471
833	17333	3450
834	17353	3429
835	17372	3408
836	17391	3386
837	17411	3365
838	17433	3345
839	17453	3324
840	17475	3303
841	17495	3283
842	17517	3262
843	17542	3242
844	17563	3221
845	17585	3201
846	17605	3180
847	17626	3159
848	17647	3138
849	17668	3117
850	17689	3097
851	17709	3076
852	17729	3055
853	17753	3035
854	17773	3014
855	17793	2993
856	17812	2972
857	17834	2951
858	17855	2930
859	17876	2910
860	17896	2889
861	17916	2868
862	17937	2847
863	17956	2826
864	17976	2805
865	17997	2784
866	18019	2764
867	18040	2743
868	18060	2722
869	18079	2701
870	18100	2680
871	18123	2660
872	18145	2639
873	18167	2619
874	18189	2598
875	18211	2577
876	18232	2557
877	18252	2536
878	18272	2515
879	18293	2494
880	18312	2473
881	18332	2452
882	18353	2431
883	18374	2411
884	18397	2390
885	18420	2370
886	18441	2349
887	18462	2328
888	18483	2307
889	18502	2286
890	18522	2265
891	18541	2244
892	18561	2224
893	18582	2203
894	18618	2184
895	18639	2163
896	18659	2142
897	18679	2121
898	18698	2100
899	18718	2079
900	18740	2059
901	18761	2038
902	18781	2017
903	18803	1996
904	18824	1976
905	18845	1955
906	18865	1934
907	18884	1913
908	18903	1892
909	18923	1871
910	18942	1850
911	18963	1829
912	18984	1808
913	19004	1788
914	19023	1767
915	19059	1747
916	19078	1726
917	19100	1706
918	19120	1685
919	19139	1664
920	19159	1643
921	19181	1622
922	19201	1601
923	19223	1581
924	19244	1560
925	19265	1539
926	19284	1518
927	19304	1497
928	19325	1476
929	19344	1456
930	19365	1435
931	19386	1414
932	19409	1393
933	19429	1372
934	19447	1351
935	19468	1331
936	19488	1310
937	19510	1289
938	19530	1268
939	19550	1247
940	19570	1227
941	19591	1206
942	19612	1185
943	19634	1164
944	19655	1143
945	19674	1123
946	19695	1102
947	19715	1081
948	19737	1060
949	19757	1039
950	19777	1019
951	19798	998
952	19817	977
953	19837	956
954	19857	935
955	19879	914
956	19899	894
957	19919	873
958	19939	852
959	19961	831
960	20024	812
961	20062	792
962	20083	771
963	20102	750
964	20127	730
965	20148	709
966	20168	688
967	20187	667
968	20206	646
969	20227	625
970	20248	604
971	20268	583
972	20288	562
973	20308	542
974	20329	521
975	20350	500
976	20370	479
977	20392	458
978	20423	438
979	20444	417
980	20463	396
981	20484	375
982	20506	354
983	20528	333
984	20550	312
985	20571	292
986	20594	271
987	20615	250
988	20635	229
989	20654	208
990	20674	187
991	20695	166
992	20715	146
993	20736	125
994	20756	104
995	20775	83
996	20803	62
997	20823	41
998	20843	20
999	20864	0
