iter	Logloss
0	0.6768877247
1	0.6614363094
2	0.6483268461
3	0.6355059456
4	0.625142612
5	0.6152611176
6	0.6043555742
7	0.5954349131
8	0.5859458666
9	0.5786806518
10	0.5721438789
11	0.5658435992
12	0.5608660213
13	0.5546949187
14	0.549208033
15	0.5434366985
16	0.5378906185
17	0.5331205023
18	0.5300155126
19	0.5262297678
20	0.522651163
21	0.5192127566
22	0.5144352189
23	0.5115625733
24	0.5092142595
25	0.5069750915
26	0.5034760862
27	0.5002655916
28	0.4975386483
29	0.4959260795
30	0.493395752
31	0.4917028206
32	0.4889491451
33	0.4865730076
34	0.4840868584
35	0.4838059727
36	0.482114395
37	0.4806374238
38	0.4787974543
39	0.4769596403
40	0.4762354632
41	0.4748430077
42	0.472554241
43	0.4719204875
44	0.4693940875
45	0.4677405791
46	0.4662582224
47	0.46465924
48	0.4632954214
49	0.4626038897
50	0.4611861377
51	0.460408553
52	0.4588820751
53	0.4579956359
54	0.4563535859
55	0.4551765759
56	0.4540433327
57	0.4529810522
58	0.4516664164
59	0.4509591137
60	0.4502439389
61	0.4491335796
62	0.4482722877
63	0.4473579831
64	0.4463092073
65	0.4457437963
66	0.4440502536
67	0.443604473
68	0.4431167755
69	0.4424349011
70	0.4415682079
71	0.4410086744
72	0.4404227244
73	0.4398529073
74	0.4393565718
75	0.4389764198
76	0.4380440775
77	0.4374285145
78	0.4367550826
79	0.4360385513
80	0.4354345601
81	0.4344909283
82	0.434276002
83	0.4342717764
84	0.4338479104
85	0.4332299949
86	0.4327348788
87	0.4324864885
88	0.4324216302
89	0.4316990693
90	0.4303654441
91	0.4298925607
92	0.4297876536
93	0.4297862502
94	0.4295011728
95	0.4293639392
96	0.4293627864
97	0.4293541836
98	0.4289480289
99	0.4287650049
100	0.4281717479
101	0.4276465591
102	0.4273303809
103	0.4267887805
104	0.4258395014
105	0.4244467727
106	0.424267728
107	0.42359758
108	0.4234098683
109	0.4228999258
110	0.4227990392
111	0.4224217853
